category,file,line,routine,phase,expression,stretch_aware,curated,amr_impact,notes
snap_computational,read.f90,781,READ_INPUT::READ_MESH,setup,M%RDETA = 1._EB/M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,782,READ_INPUT::READ_MESH,setup,M%RDZETA= 1._EB/M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,791,READ_INPUT::READ_MESH,setup,M%CELL_SIZE = SQRT(M%DXI*M%DZETA),no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,793,READ_INPUT::READ_MESH,setup,M%CELL_SIZE = (M%DXI*M%DETA*M%DZETA)**ONTH,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1283,READ_INPUT::READ_TRAN,setup,XI = I*M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1292,READ_INPUT::READ_TRAN,setup,M%HX(I) = M%DX(I)/M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1333,READ_INPUT::READ_TRAN,setup,ETA = J*M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1337,READ_INPUT::READ_TRAN,setup,M%HY(J) = M%DY(J)/M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1369,READ_INPUT::READ_TRAN,setup,ZETA = K*M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1373,READ_INPUT::READ_TRAN,setup,M%HZ(K) = M%DZ(K)/M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1431,READ_INPUT::READ_TRAN,setup,"M%CELLSI(I) = GINV(REAL(I,EB)/M%RDXINT,1,NM)*M%RDXI",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1440,READ_INPUT::READ_TRAN,setup,"M%CELLSJ(J) = GINV(REAL(J,EB)/M%RDYINT,2,NM)*M%RDETA",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,1449,READ_INPUT::READ_TRAN,setup,"M%CELLSK(K) = GINV(REAL(K,EB)/M%RDZINT,3,NM)*M%RDZETA",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11157,READ_INPUT::READ_OBST,setup,"OB%I1 = NINT( GINV(XB1-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11158,READ_INPUT::READ_OBST,setup,"OB%I2 = NINT( GINV(XB2-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11159,READ_INPUT::READ_OBST,setup,"OB%J1 = NINT( GINV(XB3-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11160,READ_INPUT::READ_OBST,setup,"OB%J2 = NINT( GINV(XB4-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11161,READ_INPUT::READ_OBST,setup,"OB%K1 = NINT( GINV(XB5-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11162,READ_INPUT::READ_OBST,setup,"OB%K2 = NINT( GINV(XB6-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11169,READ_INPUT::READ_OBST,setup,"OB%I1 = INT(GINV(.5_EB*(XB1+XB2)-XS,1,NM)*RDXI)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11175,READ_INPUT::READ_OBST,setup,"IF (GINV(XB2-XS,1,NM)-GINV(XB1-XS,1,NM)<0.25_EB/RDXI .AND. OB%I1 /= OB%I2) THEN",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11186,READ_INPUT::READ_OBST,setup,"OB%J1 = INT(GINV(.5_EB*(XB3+XB4)-YS,2,NM)*RDETA)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11192,READ_INPUT::READ_OBST,setup,"IF (GINV(XB4-YS,2,NM)-GINV(XB3-YS,2,NM)<0.25_EB/RDETA .AND. OB%J1 /= OB%J2) THEN",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11203,READ_INPUT::READ_OBST,setup,"OB%K1 = INT(GINV(.5_EB*(XB5+XB6)-ZS,3,NM)*RDZETA)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11209,READ_INPUT::READ_OBST,setup,"IF (GINV(XB6-ZS,3,NM)-GINV(XB5-ZS,3,NM)<0.25_EB/RDZETA .AND. OB%K1 /= OB%K2) THEN",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11873,READ_INPUT::READ_HOLE,setup,"I1 = NINT( GINV(X1-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11874,READ_INPUT::READ_HOLE,setup,"I2 = NINT( GINV(X2-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11875,READ_INPUT::READ_HOLE,setup,"J1 = NINT( GINV(Y1-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11876,READ_INPUT::READ_HOLE,setup,"J2 = NINT( GINV(Y2-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11877,READ_INPUT::READ_HOLE,setup,"K1 = NINT( GINV(Z1-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,11878,READ_INPUT::READ_HOLE,setup,"K2 = NINT( GINV(Z2-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12360,READ_INPUT::READ_VENT,setup,"I1 = MAX(0, NINT(GINV(XB_MESH(1)-XS,1,NM)*RDXI ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12361,READ_INPUT::READ_VENT,setup,"I2 = MIN(IBAR,NINT(GINV(XB_MESH(2)-XS,1,NM)*RDXI ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12362,READ_INPUT::READ_VENT,setup,"J1 = MAX(0, NINT(GINV(XB_MESH(3)-YS,2,NM)*RDETA ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12363,READ_INPUT::READ_VENT,setup,"J2 = MIN(JBAR,NINT(GINV(XB_MESH(4)-YS,2,NM)*RDETA ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12364,READ_INPUT::READ_VENT,setup,"K1 = MAX(0, NINT(GINV(XB_MESH(5)-ZS,3,NM)*RDZETA ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,12365,READ_INPUT::READ_VENT,setup,"K2 = MIN(KBAR,NINT(GINV(XB_MESH(6)-ZS,3,NM)*RDZETA ))",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13078,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(1)-M%XS)<50._EB*TWENTY_EPSILON_EB) XYZ(1) = XYZ(1) + 0.01_EB*M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13079,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(1)-M%XF)<50._EB*TWENTY_EPSILON_EB) XYZ(1) = XYZ(1) - 0.01_EB*M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13080,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(2)-M%YS)<50._EB*TWENTY_EPSILON_EB) XYZ(2) = XYZ(2) + 0.01_EB*M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13081,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(2)-M%YF)<50._EB*TWENTY_EPSILON_EB) XYZ(2) = XYZ(2) - 0.01_EB*M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13082,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(3)-M%ZS)<50._EB*TWENTY_EPSILON_EB) XYZ(3) = XYZ(3) + 0.01_EB*M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,13083,READ_INPUT::READ_INIT,setup,IF (ABS(XYZ(3)-M%ZF)<50._EB*TWENTY_EPSILON_EB) XYZ(3) = XYZ(3) - 0.01_EB*M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14174,READ_INPUT::READ_DEVC,setup,XYZ(1) = XYZ(1) + 0.01_EB*M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14181,READ_INPUT::READ_DEVC,setup,XYZ(1) = XYZ(1) - 0.01_EB*M%DXI,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14188,READ_INPUT::READ_DEVC,setup,XYZ(2) = XYZ(2) + 0.01_EB*M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14195,READ_INPUT::READ_DEVC,setup,XYZ(2) = XYZ(2) - 0.01_EB*M%DETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14202,READ_INPUT::READ_DEVC,setup,XYZ(3) = XYZ(3) + 0.01_EB*M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14209,READ_INPUT::READ_DEVC,setup,XYZ(3) = XYZ(3) - 0.01_EB*M%DZETA,no,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14500,READ_INPUT::READ_DEVC,setup,"SDV%I1 = NINT( GINV(SDV%X1-M%XS,1,NM)*M%RDXI ) + 1",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14501,READ_INPUT::READ_DEVC,setup,"SDV%I2 = NINT( GINV(SDV%X2-M%XS,1,NM)*M%RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14502,READ_INPUT::READ_DEVC,setup,"SDV%J1 = NINT( GINV(SDV%Y1-M%YS,2,NM)*M%RDETA ) + 1",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14503,READ_INPUT::READ_DEVC,setup,"SDV%J2 = NINT( GINV(SDV%Y2-M%YS,2,NM)*M%RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14504,READ_INPUT::READ_DEVC,setup,"SDV%K1 = NINT( GINV(SDV%Z1-M%ZS,3,NM)*M%RDZETA ) + 1",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,14505,READ_INPUT::READ_DEVC,setup,"SDV%K2 = NINT( GINV(SDV%Z2-M%ZS,3,NM)*M%RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16253,READ_INPUT::READ_SLCF,setup,"SL%I1 = NINT( GINV(XB(1)-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16254,READ_INPUT::READ_SLCF,setup,"SL%I2 = NINT( GINV(XB(2)-XS,1,NM)*RDXI )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16255,READ_INPUT::READ_SLCF,setup,"SL%J1 = NINT( GINV(XB(3)-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16256,READ_INPUT::READ_SLCF,setup,"SL%J2 = NINT( GINV(XB(4)-YS,2,NM)*RDETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16257,READ_INPUT::READ_SLCF,setup,"SL%K1 = NINT( GINV(XB(5)-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,read.f90,16258,READ_INPUT::READ_SLCF,setup,"SL%K2 = NINT( GINV(XB(6)-ZS,3,NM)*RDZETA )",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1098,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I1 = MAX(0, NINT( GINV(DV%X1-XS,1,NM)*RDXI )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1099,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I2 = MIN(IBAR,NINT( GINV(DV%X2-XS,1,NM)*RDXI )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1100,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J1 = MAX(0, NINT( GINV(DV%Y1-YS,2,NM)*RDETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1101,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J2 = MIN(JBAR,NINT( GINV(DV%Y2-YS,2,NM)*RDETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1102,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K1 = MAX(0, NINT( GINV(DV%Z1-ZS,3,NM)*RDZETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1103,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K2 = MIN(KBAR,NINT( GINV(DV%Z2-ZS,3,NM)*RDZETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1131,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I1 = MAX(0, NINT( GINV(DV%X1-XS,1,NM)*RDXI )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1132,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I2 = MIN(IBAR,NINT( GINV(DV%X2-XS,1,NM)*RDXI )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1133,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J1 = MAX(0, NINT( GINV(DV%Y1-YS,2,NM)*RDETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1134,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J2 = MIN(JBAR,NINT( GINV(DV%Y2-YS,2,NM)*RDETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1135,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K1 = MAX(0, NINT( GINV(DV%Z1-ZS,3,NM)*RDZETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1136,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K2 = MIN(KBAR,NINT( GINV(DV%Z2-ZS,3,NM)*RDZETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1165,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I1 = MAX(0, NINT( GINV(DV%X1-XS,1,NM)*RDXI )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1166,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"I2 = MIN(IBAR,NINT( GINV(DV%X2-XS,1,NM)*RDXI )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1167,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J1 = MAX(0, NINT( GINV(DV%Y1-YS,2,NM)*RDETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1168,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"J2 = MIN(JBAR,NINT( GINV(DV%Y2-YS,2,NM)*RDETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1169,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K1 = MAX(0, NINT( GINV(DV%Z1-ZS,3,NM)*RDZETA )-1)",yes,no,geometry snaps to the lattice of each level separately,
snap_computational,velo.f90,1170,VELO::VELOCITY_FLUX::PATCH_VELOCITY_FLUX,runtime,"K2 = MIN(KBAR,NINT( GINV(DV%Z2-ZS,3,NM)*RDZETA )+1)",yes,no,geometry snaps to the lattice of each level separately,
coord_lookup_table,func.f90,5425,GEOMETRY_FUNCTIONS::SEARCH_OTHER_MESHES,runtime+setup,IF (ALLOCATED(M2%CELLSI)) THEN,yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,5426,GEOMETRY_FUNCTIONS::SEARCH_OTHER_MESHES,runtime+setup,"XI = MAX( 1._EB , MIN( REAL(M2%IBP1,EB)*ONE_M_EPS , M2%CELLSI(FLOOR((XX-M2%XS)*M2%RDXINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,5427,GEOMETRY_FUNCTIONS::SEARCH_OTHER_MESHES,runtime+setup,"YJ = MAX( 1._EB , MIN( REAL(M2%JBP1,EB)*ONE_M_EPS , M2%CELLSJ(FLOOR((YY-M2%YS)*M2%RDYINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,5428,GEOMETRY_FUNCTIONS::SEARCH_OTHER_MESHES,runtime+setup,"ZK = MAX( 1._EB , MIN( REAL(M2%KBP1,EB)*ONE_M_EPS , M2%CELLSK(FLOOR((ZZ-M2%ZS)*M2%RDZINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,6775,TRAN::GET_IJK,runtime+setup,"XI = MESHES(NM)%CELLSI( MIN( MESHES(NM)%CELLSI_HI, MAX(MESHES(NM)%CELLSI_LO,FLOOR((X-MESHES(NM)%XS)*MESHES(NM)%RDXINT)) ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,6776,TRAN::GET_IJK,runtime+setup,"YJ = MESHES(NM)%CELLSJ( MIN( MESHES(NM)%CELLSJ_HI, MAX(MESHES(NM)%CELLSJ_LO,FLOOR((Y-MESHES(NM)%YS)*MESHES(NM)%RDYINT)) ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,func.f90,6777,TRAN::GET_IJK,runtime+setup,"ZK = MESHES(NM)%CELLSK( MIN( MESHES(NM)%CELLSK_HI, MAX(MESHES(NM)%CELLSK_LO,FLOOR((Z-MESHES(NM)%ZS)*MESHES(NM)%RDZINT)) ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,230,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"YJ = MAX( 1._EB , MIN( REAL(M2%JBAR,EB)+ONE_M_EPS , M2%CELLSJ(FLOOR((YY-M2%YS)*M2%RDYINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,231,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"ZK = MAX( 1._EB , MIN( REAL(M2%KBAR,EB)+ONE_M_EPS , M2%CELLSK(FLOOR((ZZ-M2%ZS)*M2%RDZINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,252,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"XI = MAX( 1._EB , MIN( REAL(M2%IBAR,EB)+ONE_M_EPS , M2%CELLSI(FLOOR((XX-M2%XS)*M2%RDXINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,253,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"ZK = MAX( 1._EB , MIN( REAL(M2%KBAR,EB)+ONE_M_EPS , M2%CELLSK(FLOOR((ZZ-M2%ZS)*M2%RDZINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,274,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"XI = MAX( 1._EB , MIN( REAL(M2%IBAR,EB)+ONE_M_EPS , M2%CELLSI(FLOOR((XX-M2%XS)*M2%RDXINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,geom.f90,275,COMPLEX_GEOMETRY::SEARCH_OTHER_MESHES_FACE,setup,"YJ = MAX( 1._EB , MIN( REAL(M2%JBAR,EB)+ONE_M_EPS , M2%CELLSJ(FLOOR((YY-M2%YS)*M2%RDYINT)) + 1._EB ) )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1464,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"ZK = MIN( REAL(MM%KBAR,EB)+ONE_M_EPS , MM%CELLSK(NINT((M%Z(KK)-MM%ZS)*MM%RDZINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1473,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"YJ = MIN( REAL(MM%JBAR,EB)+ONE_M_EPS , MM%CELLSJ(NINT((M%Y(JJ)-MM%YS)*MM%RDYINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1502,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"ZK = MIN( REAL(MM%KBAR,EB)+ONE_M_EPS , MM%CELLSK(NINT((M%Z(KK)-MM%ZS)*MM%RDZINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1510,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"XI = MIN( REAL(MM%IBAR,EB)+ONE_M_EPS , MM%CELLSI(NINT((M%X(II)-MM%XS)*MM%RDXINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1539,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"YJ = MIN( REAL(MM%JBAR,EB)+ONE_M_EPS , MM%CELLSJ(NINT((M%Y(JJ)-MM%YS)*MM%RDYINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,init.f90,1548,INIT::INITIALIZE_MESH_VARIABLES_2::DEFINE_EDGE,setup,"XI = MIN( REAL(MM%IBAR,EB)+ONE_M_EPS , MM%CELLSI(NINT((M%X(II)-MM%XS)*MM%RDXINT))+1._EB )",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1421,READ_INPUT::READ_TRAN,setup,"ALLOCATE(M%CELLSI(-NIPXS:NIPX+NIPXF),STAT=IZERO)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1423,READ_INPUT::READ_TRAN,setup,"ALLOCATE(M%CELLSJ(-NIPYS:NIPY+NIPYF),STAT=IZERO)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1425,READ_INPUT::READ_TRAN,setup,"ALLOCATE(M%CELLSK(-NIPZS:NIPZ+NIPZF),STAT=IZERO)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1431,READ_INPUT::READ_TRAN,setup,"M%CELLSI(I) = GINV(REAL(I,EB)/M%RDXINT,1,NM)*M%RDXI",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1432,READ_INPUT::READ_TRAN,setup,"IF (ABS(M%CELLSI(I)-REAL(NINT(M%CELLSI(I)),EB)) < 1.E-14_EB) M%CELLSI(I) = REAL(NINT(M%CELLSI(I)),EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1433,READ_INPUT::READ_TRAN,setup,"M%CELLSI(I) = MAX(M%CELLSI(I),-0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1434,READ_INPUT::READ_TRAN,setup,"M%CELLSI(I) = MIN(M%CELLSI(I),REAL(M%IBAR)+0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1440,READ_INPUT::READ_TRAN,setup,"M%CELLSJ(J) = GINV(REAL(J,EB)/M%RDYINT,2,NM)*M%RDETA",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1441,READ_INPUT::READ_TRAN,setup,"IF (ABS(M%CELLSJ(J)-REAL(NINT(M%CELLSJ(J)),EB)) < 1.E-14_EB) M%CELLSJ(J) = REAL(NINT(M%CELLSJ(J)),EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1442,READ_INPUT::READ_TRAN,setup,"M%CELLSJ(J) = MAX(M%CELLSJ(J),-0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1443,READ_INPUT::READ_TRAN,setup,"M%CELLSJ(J) = MIN(M%CELLSJ(J),REAL(M%JBAR)+0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1449,READ_INPUT::READ_TRAN,setup,"M%CELLSK(K) = GINV(REAL(K,EB)/M%RDZINT,3,NM)*M%RDZETA",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1450,READ_INPUT::READ_TRAN,setup,"IF (ABS(M%CELLSK(K)-REAL(NINT(M%CELLSK(K)),EB)) < 1.E-14_EB) M%CELLSK(K) = REAL(NINT(M%CELLSK(K)),EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1451,READ_INPUT::READ_TRAN,setup,"M%CELLSK(K) = MAX(M%CELLSK(K),-0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
coord_lookup_table,read.f90,1452,READ_INPUT::READ_TRAN,setup,"M%CELLSK(K) = MIN(M%CELLSK(K),REAL(M%KBAR)+0.9_EB)",yes,no,per-box lookup table; rebuild on regrid,
