tier,case,anchor,req,cat,meshes,cells,nres,dx,ranks_str,firebot,t_end,steps_est,cost,PI,wall_s,mem_gb,fits,tclass,derive,verifies,judge,notes
T2,Scalar_Analytical_Solution/soborot_charm_cos_wave_16.fds,,,"d,e",1,256,1,0.0625x1x0.0625,1,1,1.575745,51,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, charm, N=16","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_charm_cos_wave_32.fds,,,"d,e",1,1024,1,0.03125x1x0.03125,1,1,1.575745,101,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, charm, N=32","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_charm_cos_wave_64.fds,,,"d,e",1,4096,1,0.015625x1x0.015625,1,1,1.575745,202,iso2d,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, charm, N=64","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_charm_cos_wave_128.fds,,,"d,e",4,16384,1,0.007812x1x0.007812,4,4,1.575745,404,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Scalar advection cosine wave, charm, N=128","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_superbee_cos_wave_16.fds,,,"d,e",1,256,1,0.0625x1x0.0625,1,1,1.575745,51,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, superbee, N=16","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_superbee_cos_wave_32.fds,,,"d,e",1,1024,1,0.03125x1x0.03125,1,1,1.575745,101,iso2d,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, superbee, N=32","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_superbee_cos_wave_64.fds,,,"d,e",1,4096,1,0.015625x1x0.015625,1,1,1.575745,202,iso2d,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Scalar advection cosine wave, superbee, N=64","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/soborot_superbee_cos_wave_128.fds,,,"d,e",4,16384,1,0.007812x1x0.007812,4,4,1.575745,404,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Scalar advection cosine wave, superbee, N=128","soborot_mass_transport.py (plot, convergence)",
T2,Scalar_Analytical_Solution/pulsating_FL0_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 0, N=16","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL0_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 0, N=16",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL0_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 0, N=32","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL0_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 0, N=32",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL0_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 0, N=64","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL0_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 0, N=64",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL0_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 0, N=128","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL0_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 0, N=128",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL2_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 2, N=16","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL2_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 2, N=16",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL2_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 2, N=32","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL2_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 2, N=32",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL2_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 2, N=64","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL2_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 2, N=64",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL2_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 2, N=128","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL2_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 2, N=128",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL4_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 4, N=16","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL4_16.fds,,,"d,e",1,256,1,0.392699x1x0.392699,1,1,12.5,36,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 4, N=16",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL4_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 4, N=32","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL4_32.fds,,,"d,e",1,1024,1,0.19635x1x0.19635,1,1,12.5,71,dns,1,3,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 4, N=32",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL4_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 4, N=64","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL4_64.fds,,,"d,e",1,4096,1,0.098175x1x0.098175,1,1,12.5,142,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 4, N=64",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/pulsating_FL4_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Pulsating 2-D continuity solution, flux limiter 4, N=128","pulsating.py: L2 error plot, 2nd order expected (no hard tolerance)",
T2,Scalar_Analytical_Solution/compression_wave_FL4_128.fds,,,"d,e",1,16384,1,0.049087x1x0.049087,1,1,12.5,283,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,"Stationary compression wave, FL 4, N=128",compression_wave.py: L2 error plot (no hard tolerance),
T2,Scalar_Analytical_Solution/move_slug.fds,,,"a,d",4,6400,1,0.0125x0.02x0.0125,4,1,1.,320,dns,1,4,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Scalar slug advected across 4 mesh boundaries,plot only (no dataplot row),firebot 1 rank
T2,Scalar_Analytical_Solution/move_slug_fl1.fds,,,"a,d",4,6400,1,0.0125x0.02x0.0125,4,1,1.,320,dns,1,4,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Same with flux limiter 1,plot only,
T2,NS_Analytical_Solution/vort2d_40.fds,,,e,1,1600,1,0.00778x0.00778x0.00778,1,1,0.04,720,dns,1,5,0.1,yes,T1 (T0 stretch) / T2,,Translating 2-D vortex N=40,"vort2d.py (error plot, no hard tolerance)",
T2,NS_Analytical_Solution/vort2d_80.fds,,,e,1,6400,1,0.00389x0.00389x0.00389,1,1,0.04,720,dns,1,12,0.1,yes,T1 (T0 stretch) / T2,,Translating 2-D vortex N=80,"vort2d.py (error plot, no hard tolerance)",
T2,NS_Analytical_Solution/vort2d_160.fds,,,e,1,25600,1,0.001945x0.001945x0.001945,1,1,0.04,1440,dns,1,77,0.1,yes,T1 (T0 stretch) / T2,,Translating 2-D vortex N=160,"vort2d.py (error plot, no hard tolerance)",
T2,Flowfields/blasius_16.fds,,,e,1,384,1,0.00625x0.01x0.01875,1,1,10,1778,dns,1,4,0.1,yes,T1 (T0 stretch) / T2,,Blasius boundary layer N=16,blasius.py (profile plot),
T2,Flowfields/blasius_32.fds,,,e,1,1536,1,0.003125x0.01x0.009375,1,1,10,3556,dns,1,14,0.1,yes,T1 (T0 stretch) / T2,,Blasius boundary layer N=32,blasius.py (profile plot),
T2,Flowfields/blasius_64.fds,,,e,1,6144,1,0.001562x0.01x0.004687,1,1,10,7114,dns,1,91,0.1,yes,T1 (T0 stretch) / T2,,Blasius boundary layer N=64,blasius.py (profile plot),
T2,Flowfields/symmetry_test_mpi.fds,,,a,8,8000,1,0.05x0.05x0.05,8,8,500.,11112,iso3d,1,35,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Counter-flowing jets on 8 meshes: symmetric velocity histories,"dataplot: u_1|v_1|w_1 vs u_2|v_2|w_2, Absolute Error, mean, tol 0.01",
T2,Flowfields/symmetry_test.fds,,,a,1,1000,1,0.1x0.1x0.1,1,1,50.,556,iso3d,1,4,0.1,yes,T1 (T0 stretch) / T2,,Same on 1 mesh,"dataplot: Absolute Error, mean, tol 0.01",
T2,Flowfields/volume_flow_1.fds,,,"a,c",8,8000,1,0.05x0.05x0.05,8,8,100.,2223,iso3d,3,22,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Volume flow through 8 meshes,"dataplot: vflow, Relative Error, mean, tol 0.01",
T2,Flowfields/volume_flow_2.fds,,,"a,c",8,8000,1,0.05x0.05x0.05,8,8,100.,2223,iso3d,3,22,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Volume flow variant,"dataplot: vflow, Relative Error, mean, tol 0.01",
T2,Miscellaneous/layer_1mesh.fds,,,"a,f",1,8000,1,0.1x0.1x0.1,1,1,60.0,1334,fire,1,56,0.1,yes,T1 first 100 steps (T2 full run) / T2,,"Compartment fire, layer height/temps, 1 mesh",reference for layer_4mesh,
T2,Miscellaneous/layer_4mesh.fds,,,"a,f",4,8000,1,0.1x0.1x0.1,3,3,60.0,1334,fire,1,29,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Same on 4 meshes / 3 ranks (MPI_PROCESS),dataplot: z_int rel 0.2 mean; T_low|T_up rel 0.1 mean vs 1mesh,
T2,Thread_Check/race_test_1.fds,,,"a,f,g",6,37440,3,-0.05x0.05x0.05;0.01x0.01x0.01;0.05x0.05x0.05,1,1,5.,1667,fire,1,316,0.1,yes,T1 first 100 steps (T2 full run) / T2,,"6 meshes, 2 resolutions (0.05 m and 0.01 m, 5:1), fire; reference for OpenMP race check","dataplot: TMP, VEL vs race_test_4, Absolute Error, end, tol 0.01",multi-resolution fire case; could also run 6 ranks
T2-opt,Thread_Check/race_test_4.fds,,,g,6,37440,3,-0.05x0.05x0.05;0.01x0.01x0.01;0.05x0.05x0.05,1,1,5.,1667,fire,1,316,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Same with 4 OpenMP threads,as above,needs OMP_NUM_THREADS=4 (1 rank x 4 threads); schedule when the machine is idle
T2,Sprinklers_and_Sprays/porous_media.fds,,,a,3,63072,3,0.020833x0.020833x0.020833;0.041667x0.041667x0.041667;0.083333x0.083333x0.083333,1,1,10.,534,solid,1,104,0.1,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,"3 meshes at 3 resolutions (1:2:4, 0.021/0.042/0.083 m) with porous-media drag","dataplot: Relative Error, end, tol 0.01","only 3-level multi-resolution input in the suite; firebot 1 rank, 3 ranks also valid"
T2,Pressure_Solver/duct_flow.fds,,,"b,c",8,32768,1,0.2x0.2x0.2,8,8,60.0,500,iso3d,3,21,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"3-D duct flow on 8 meshes, FFT + iteration to VELOCITY_TOLERANCE 1e-3","dataplot: flow_in|flow_out vs 1.0, Relative Error, end_1_2, tol 0.05; iterations N/A",
T2,Pressure_Solver/duct_flow_uglmat_hypre.fds,,,"b,c",8,32768,1,0.2x0.2x0.2,8,8,60.0,500,iso3d,1.5,12,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Same with global UGLMAT/HYPRE,same,
T2,Pressure_Solver/duct_flow_uglmat_refine.fds,,,"a,b,c",8,147456,2,0.1x0.1x0.1;0.2x0.2x0.2,8,8,60.0,1000,iso3d,1.5,82,0.18,yes,"T1 vs baseline, same solver, if the legacy multi-resolution path is kept in uniform mode (else T2) / T2",,"Duct flow with 4 coarse (16^3) + 4 fine (32^3) meshes stacked, UGLMAT/HYPRE: 3-D coarse/fine interface",same (flow rel 0.05),
T2,Pressure_Solver/duct_flow_ulmat_hypre.fds,,,b,8,32768,1,0.2x0.2x0.2,8,8,60.0,500,iso3d,3,21,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Same with ULMAT/HYPRE,no dataplot row; V&V regression,
T2-Intel,Pressure_Solver/duct_flow_uglmat_pardiso.fds,,,b,8,32768,1,0.2x0.2x0.2,8,8,60.0,500,iso3d,1.5,12,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,UGLMAT PARDISO,dataplot rel 0.05,Intel binary only
T2,Pressure_Solver/pressure_iteration2d_default.fds,,,b,8,1024,1,0.025x0.02x0.025,8,8,0.5,45,dns,3,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Pressure-iteration behaviour 2d default (8 meshes),no dataplot row; V&V: iterations and max velocity error from .out/_pressit.csv,
T2,Pressure_Solver/pressure_iteration2d_uglmat.fds,,,b,8,1024,1,0.025x0.02x0.025,8,8,0.5,45,dns,1.5,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Pressure-iteration behaviour 2d uglmat (8 meshes),no dataplot row; V&V: iterations and max velocity error from .out/_pressit.csv,
T2,Pressure_Solver/pressure_iteration3d_default.fds,,,b,8,32768,1,0.025x0.025x0.025,8,8,0.5,45,dns,3,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Pressure-iteration behaviour 3d default (8 meshes),no dataplot row; V&V: iterations and max velocity error from .out/_pressit.csv,
T2,Pressure_Solver/pressure_iteration3d_uglmat.fds,,,b,8,32768,1,0.025x0.025x0.025,8,8,0.5,45,dns,1.5,4,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Pressure-iteration behaviour 3d uglmat (8 meshes),no dataplot row; V&V: iterations and max velocity error from .out/_pressit.csv,
T2,Pressure_Solver/random_obstructions_fft.fds,,,"a,b",16,65536,1,0.025x0.025x0.025,1,16,2.0,178,fire,3,178,0.1,yes,T1 first 100 steps (T2 full run) / T2,,"16 meshes with random OBSTs, FFT + iterations: max velocity error at interfaces/solids","dataplot: vel-max tolerance 0.0125 (metric tolerance), iterations <=100",16 meshes > 8 ranks: run on 1 rank (or V&V copy with MPI_PROCESS for 8 ranks)
T2,Pressure_Solver/opening_ulmat.fds,,,b,1,512,1,0.1x0.1x0.1,1,1,10.,112,iso3d,1,3,0.1,yes,T1 (T0 stretch) / T2,,ULMAT with OPEN boundary: pressure error,"dataplot: perr-max, Absolute Error, tolerance, tol 1e-10",
T2,Pressure_Solver/ulmat_2zone.fds,,,b,2,1000,1,0.1x0.1x0.1,2,2,10,112,iso3d,1,3,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,ULMAT with two pressure zones,no dataplot row; regression,
T2,Pressure_Solver/hallways.fds,,,"c,f",5,73728,1,0.0625x0.0625x0.0625,5,5,60.0,3200,firerad,1,542,0.1,yes,T1 first 100 steps (T2 full run) / T2,,5-mesh hallway fire: energy budget Q_TOTAL vs enthalpy flux,"dataplot: Q_ENTH vs Q_TOTAL (_hrr.csv), Absolute Error, mean, tol 3 kW",
T2-opt,Pressure_Solver/tunnel_demo.fds,,,"b,f",8,256000,1,0.2x0.2x0.2,8,8,30.,500,firerad,3,552,0.31,yes,T1 first 100 steps (T2 full run) / T2,,8-mesh tunnel fire: pressure iteration convergence (_pressit.csv),"dataplot: Velocity Error / Pressure Error, Absolute Error, min",
T2,Pressure_Effects/pressure_rise.fds,,,"b,c",3,1200,1,0.05x0.002x0.05,3,1,600.0,2667,iso2d,1,5,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure rise in sealed 3-mesh domain; p, T, rho vs analytical","dataplot: Pres/Dens rel 0.01, Temp rel 0.02, end",firebot 1 rank; has MASS_FILE
T2,Pressure_Effects/zone_shape_2.fds,,,"b,c",8,32768,1,0.2x0.2x0.2,8,8,300.0,834,iso3d,3,32,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,8-mesh pressure zone; delta p and total mass,dataplot: Delta p rel 0.01 mean; Total mass (_mass.csv) rel 0.01 end,
T2,Pressure_Effects/isentropic.fds,,,"b,c",2,16000,1,0.05x0.05x0.05,2,1,60.,267,iso3d,1,9,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Isentropic compression, 2 meshes",dataplot: rel 0.01 end,firebot 1 rank
T2,Pressure_Effects/zone_break_fast_uglmat_hypre.fds,,,b,4,30000,1,0.2x0.2x0.2,4,4,30.,334,iso3d,1.5,14,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,"Pressure-zone breach, UGLMAT/HYPRE, 4 meshes",no own dataplot row (zone_break_fast rel 0.02 max),
T2,Flowfields/simple_duct.fds,,,"a,c",5,98480,1,0.05x0.05x0.05,5,5,30.0,2000,iso3d,3,341,0.12,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Room + recirculating duct over 5 meshes: CO2 mass conservation,"dataplot: CO2 mass (_mass.csv), Relative Error, end, tol 0.01",
T2,Flowfields/species_conservation_3.fds,,,c,1,1000,1,0.1x0.1x0.1,1,1,100.,556,solid,1,5,0.1,yes,T1 (T0 stretch) / T2,,Solid vaporises inside domain: total gas mass,dataplot: rel 0.1 end,
T2,Flowfields/species_conservation_4.fds,,,c,1,1000,1,0.1x0.1x0.1,1,1,100.,556,solid,1,5,0.1,yes,T1 (T0 stretch) / T2,,Surface reaction at domain boundary,dataplot: abs 5e-3 end,
T2,Flowfields/gas_filling.fds,,,c,1,15360,1,0.2x0.2x0.2,1,1,300.0,1667,iso3d,1,54,0.1,yes,T1 (T0 stretch) / T2,,Hydrogen filling: mass in _mass.csv,dataplot: rel 0.01 end,
T2,Flowfields/realizable_mass_fractions.fds,,,c,1,12000,1,0.1x0.1x0.1,1,1,10.0,223,fire,1,16,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Sum of mass fractions = 1,dataplot: max_1_4 abs 1e-6,
T2,Flowfields/divergence_test_1.fds,,,b,1,8000,1,0.05x0.05x0.05,1,1,10.,223,iso3d,1.5,8,0.1,yes,T1 (T0 stretch) / T2,,"Isothermal through-flow with OBST create/remove, UGLMAT",dataplot: div abs 1e-10,
T2,Species/mass_flux_wall_yindex.fds,,,c,1,8000,1,0.5x0.5x0.5,1,1,2000,8000,iso3d,1,131,0.1,yes,T1 (T0 stretch) / T2,,Primitive-species mass balance through boundaries (_mass.csv vs integrated fluxes),mass_balance.py: mean balance error (t>1000 s) <= 1e-5 (warning),
T2,Species/mass_flux_wall_zindex.fds,,,c,1,8000,1,0.5x0.5x0.5,1,1,2000.0,8000,iso3d,1,131,0.1,yes,T1 (T0 stretch) / T2,,Lumped-species variant,mass_balance.py: <= 1e-5,
T2,Species/mass_balance_gas_volume.fds,,,c,1,8000,1,0.5x0.5x0.5,1,1,2000.0,8000,iso3d,1,131,0.1,yes,T1 (T0 stretch) / T2,,Control-volume mass balance (dm/dt vs fluxes),mass_balance_gas_volume.py: max |balance| <= 1e-6,
T2,Species/mass_balance_reac.fds,,,"c,f",8,64000,1,0.25x0.25x0.25,8,8,20.0,640,fire,1.5,58,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Reacting-flow species mass balance on 8 meshes (UGLMAT),mass_balance_reac.py: |mean balance|/m <= 1.5e-3 per species,
T2-opt,Energy_Budget/energy_budget_adiabatic_walls.fds,,,"c,f",1,32000,1,0.25x0.25x0.25,1,1,300.,5334,fire,1,857,0.1,yes,T1 first 100 steps (T2 full run) / T2,,"1.2 MW fire, adiabatic walls: HRR = enthalpy outflow in quasi-steady state","dataplot: Absolute Error, mean, tol 20 kW",single mesh; longest Tier-2 case
T2,Energy_Budget/energy_budget_dns_100.fds,,,c,1,2500,1,0.0001x0.001x0.0001,1,1,2.,12000,dns,1,64,0.1,yes,T1 (T0 stretch) / T2,,2-D DNS energy budget,"dataplot: Relative Error, end, tol 0.01",
T2,Energy_Budget/test_hrr_2d_cyl.fds,,,"c,f",1,800,1,0.1x0.02x0.1,1,1,10,223,fire,1,4,0.1,yes,T1 first 100 steps (T2 full run) / T2,,"HRR integral, 2-D cylindrical",dataplot: rel 0.02 mean,
T2-opt,Heat_Transfer/ht3d_energy_conservation_4.fds,,,"a,c",8,125000,1,0.01x0.01x0.01,8,8,100,2000,solid,1,137,0.15,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,3-D solid heat conduction across 8 meshes: energy conservation,dataplot: rel 0.01 end,
T2,Fires/box_burn_away1.fds,,,"f,c",4,4000,1,0.1x0.1x0.1,4,4,30.,667,fire,1,8,0.1,yes,T1 first 100 steps (T2 full run) / T2,,4-mesh burning box: fuel mass consumed,"dataplot: Mass fuel, Relative Error, end, tol 0.02",
T2,Fires/circular_burner.fds,,,f,8,64000,1,0.05x0.05x0.05,8,8,20.,1334,firerad,1,125,0.1,yes,T1 first 100 steps (T2 full run) / T2,,8-mesh propane burner plume: MLR,"dataplot: MLR_PROPANE (_hrr.csv), Relative Error, end, tol 0.01",
T2,Fires/simple_test.fds,,,f,1,20736,1,0.1x0.1x0.1,1,1,60.0,2000,firerad,1,335,0.1,yes,T1 first 100 steps (T2 full run) / T2,,Single-mesh compartment fire (end-to-end regression),no dataplot row; V&V regression only,
T2,Restart/device_restart_base_case.fds,,,g,4,10374,1,0.4x0.4x0.4,4,4,60.0,334,fire,1,9,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,Multi-room fire uninterrupted (reference),"dataplot: temp base vs restart, Absolute Error, end, tol 5 C",
T2,Restart/device_restart_a.fds,,,g,4,10374,1,0.4x0.4x0.4,4,4,40.0,223,fire,1,7,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,"Same, stopped at 40 s",see base case,
T2,Restart/device_restart_b.fds,,,g,4,10374,1,0.4x0.4x0.4,4,4,60.0,334,fire,1,9,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,Restart from 40 s to 60 s,see base case,
T2,Restart/restart_ulmat_a.fds,,,"g,b",4,30000,1,0.2x0.2x0.2,4,4,30.,167,iso3d,1,7,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,"ULMAT restart, 4 meshes / 4 ranks, writes restart at 30 s","firebot restart set, no dataplot row",
T2,Restart/restart_ulmat_b.fds,,,"g,b",4,30000,1,0.2x0.2x0.2,4,4,50.,278,iso3d,1,9,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,ULMAT restart continuation,regression vs continuous run,
T2,Restart/clocks_restart_base_case.fds,,,g,1,8000,1,0.25x0.25x0.25,1,1,29.0,258,fire,1,13,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,Clock/timer restart reference,dataplot: HRR rel 0.01 mean,
T2,Restart/csvf_restart_a.fds,,,g,8,1000,1,0.2x0.2x0.2,8,8,10,112,fire,1,3,0.1,yes,T0 (proposed) / T1 minimum (FR-080),,"CSVF (initialise from CSV) restart, 8 meshes",firebot restart set,
T2,Energy_Budget/energy_budget_particles.fds,yes,FR-051,c,1,1000,1,0.1x0.1x0.1,1,1,900.0,9000,iso3d,1,21,0.1,yes,T1 (T0 stretch) / T2,,Hot BBs (particles) heating gas in a sealed 10^3 box: energy transfer particle->gas,"dataplot: 2 rows, area/Relative Error, tol 0.01",
T2,Pressure_Effects/zone_break_fast.fds,yes,FR-034,"b,c",1,30000,1,0.2x0.2x0.2,1,1,30.,334,iso3d,3,63,0.1,yes,T1 (T0 stretch) / T2,,"Pressure-zone breach (zone break), 1 mesh, FFT","dataplot: Relative Error, max, tol 0.02",
T2,Pressure_Effects/zone_shape.fds,yes,FR-034,"b,c",2,30000,1,0.2x0.2x0.2,2,2,25.,70,iso3d,3,12,0.1,yes,T2 vs FFT baseline; T1 vs GLMAT copy (FR-002) / T2,,Irregular pressure zone over 2 meshes,"dataplot: Relative Error, mean, tol 0.015",
